county,precinct,absenteePrecinct,score
BERRIEN,1642,"1642",100.00
BERRIEN,1157,"1157",100.00
BERRIEN,518,"518",100.00
BERRIEN,1144,"1144",100.00
BERRIEN,11062,"11062",100.00
COBB,KE5A,"KE5A",100.00
COBB,SN3A,"SN3A",100.00
COBB,BG01,"BG01",100.00
COBB,MR5B,"MR5B",100.00
COBB,SN2A,"SN2A",100.00
COBB,CH03,"CH03",100.00
COBB,PE01,"PE01",100.00
COBB,PP01,"PP01",100.00
COBB,CH02,"CH02",100.00
COBB,DO01,"DO01",100.00
COBB,MR2B,"MR2B",100.00
COBB,CK01,"CK01",100.00
COBB,HL01,"HL01",100.00
COBB,MR3B,"MR3B",100.00
COBB,MK01,"MK01",100.00
COBB,SN3B,"SN3B",100.00
COBB,OK01,"OK01",100.00
COBB,AD01,"AD01",100.00
COBB,SN7A,"SN7A",100.00
COBB,MS01,"MS01",100.00
COBB,BG02,"BG02",100.00
COBB,EA01,"EA01",100.00
COBB,LM02,"LM02",100.00
COBB,FP01,"FP01",100.00
COBB,SO01,"SO01",100.00
COBB,CL02,"CL02",100.00
COBB,KP02,"KP02",100.00
COBB,RS01,"RS01",100.00
COBB,MR4C,"MR4C",100.00
COBB,MR5A,"MR5A",100.00
COBB,WG02,"WG02",100.00
COBB,PS3A,"PS3A",100.00
COBB,SW01,"SW01",100.00
COBB,FO04,"FO04",100.00
COBB,KE3A,"KE3A",100.00
COBB,OR02,"OR02",100.00
COBB,CL01,"CL01",100.00
COBB,MT04,"MT04",100.00
COBB,TR01,"TR01",100.00
COBB,AC1B,"AC1B",100.00
COBB,VG01,"VG01",100.00
COBB,LA01,"LA01",100.00
COBB,MD01,"MD01",100.00
COBB,FY01,"FY01",100.00
COBB,MT03,"MT03",100.00
COBB,CO01,"CO01",100.00
COBB,PM01,"PM01",100.00
COBB,SN4A,"SN4A",100.00
COBB,FR01,"FR01",100.00
COBB,MA01,"MA01",100.00
COBB,TM01,"TM01",100.00
COBB,SN6A,"SN6A",100.00
COBB,PS2A,"PS2A",100.00
COBB,AC1A,"AC1A",100.00
COBB,MA04,"MA04",100.00
COBB,ME01,"ME01",100.00
