county,precinct,precinctName
"FULTON","SC07A","SC07A"
"FULTON","SC04","SC04"
"FULTON","SC13A","SC13A"
"FULTON","SC13","SC13"
"DOUGLAS","785","BOUNDARY WATERS"
"FULTON","SC05A","SC05A"
"FULTON","SC05D","SC05D"
"FULTON","SC15A","SC15A"
"FULTON","SC15","SC15"
"FULTON","FA01A","FA01A"
"FULTON","SC07E","SC07E"
"FULTON","UC02E","UC02E"
"FULTON","SC07D","SC07D"
"FULTON","UC02D","UC02D"
"FULTON","SC21A","SC21A"
"FULTON","UC02C","UC02C"
"FULTON","SC08G","SC08G"
"FULTON","SC08A","SC08A"
"FULTON","SC08F","SC08F"
"FULTON","UC02A","UC02A"
"FULTON","SC07B","SC07B"
"FULTON","SC05E","SC05E"
"FULTON","SC20","SC20"
"FULTON","SC01B","SC01B"
"GREENE","001","GREENSBORO"
"OCONEE","02-CF","COLHAM FERRY"
"CLARKE","1C","1C"
"CLARKE","8C","8C"
"CLARKE","8B","8B"
"CLARKE","4A","4A"
"CLARKE","8A","8A"
"CLARKE","1D","1D"
"CLARKE","1B","1B"
"CLARKE","2B","2B"
"CLARKE","1A","1A"
"MADISON","HUL","HULL"
"OGLETHORPE","CR","CRAWFORD"
"OGLETHORPE","BV","BEAVERDAM"
"MADISON","COB","COLBERT"
"MADISON","COM","COMER"
"GREENE","004","UNION POINT"
"TALIAFERRO","601","CRAWFORDVILLE"
"WILKES","3B","RAYLE CITY HALL"
"OGLETHORPE","LX","LEXINGTON"
"MADISON","FOR","FORK"
"ELBERT","202","WEBBSBORO"
"ELBERT","193","WYCHE"
"MADISON","PIT","PITTMAN"
"MADISON","ILA","ILA"
"MADISON","POC","POCA"
"FRANKLIN","7","SOUTHWEST FRANKLIN"
"MADISON","DAN","DANIELSVILLE"
"MADISON","MIL","MILL"
"MADISON","HAR","HARRISON"
"FRANKLIN","6","ROYSTON"
"FRANKLIN","2","WEST FRANKLIN"
"FRANKLIN","1","CARNESVILLE"
"STEPHENS","SC1","SENIOR CENTER"
"FRANKLIN","5","CANON"
"FRANKLIN","4","LAVONIA"
"FRANKLIN","3","NORTHEAST FRANKLIN"
"MADISON","PAO","PAOLI"
"MADISON","COL","COLLINS"
"ELBERT","201","GOSHEN"
"HART","3","GOLDMINE"
"ELBERT","197","PIKE"
"ELBERT","189","ELBERTON"
"ELBERT","315","CENTERVILLE"
"HART","8","BIO"
"HART","4","COKESBURY"
"HART","6","BOWERSVILLE"
"HART","7","SHOAL CREEK"
"HART","2","HARTWELL"
"HART","5","REED CREEK"
"WHITE","101","TOWN CREEK"
"WHITE","021","BLUE RIDGE"
"WHITE","091","TESNATEE"
"UNION","11","CHOESTOE"
"UNION","6","TRACKROCK"
"WHITE","051","MT YONAH"
"WHITE","011","BLUE CREEK"
"WHITE","061","NACOOCHEE"
"WHITE","031","ROBERTSTOWN-HELEN"
"TOWNS","1468","YOUNG HARRIS"
"HEARD","EPH","EPHESUS"
"CARROLL","1111","BOWDON"
"CARROLL","1533","TYUS"
"TROUP","07","EAST VERNON"
"TROUP","16","NORTHSIDE"
"TROUP","01","HOLLIS HAND"
"HEARD","FRA","FRANKLIN"
"TROUP","03","HAMMETT RD"
"TROUP","10","MCCLENDON"
"TROUP","12","GARDNER NEWMAN"
"HEARD","COO","COOKSVILLE-CORINTH"
"HEARD","CEN","CENTRALHATCHEE"
"CARROLL","714BW","OLD CAMP CHURCH"
"CARROLL","713","ROOPVILLE"
"CARROLL","715","OAK GROVE"
"HEARD","ENO","ENON GROVE"
"COWETA","04","DRESDEN"
"CARROLL","1483","CLEM"
"CLAY","1","BLUFFTON"
"RANDOLPH","131","COLEMAN"
"CALHOUN","4","EDISON-ARLINGTON"
"CALHOUN","3","EDISON"
"RANDOLPH","718A","CUTHBERT-COURTHOUSE"
"RANDOLPH","954","SPRINGVALE"
"RANDOLPH","718B","CUTHBERT"
"RANDOLPH","566","BENEVOLENCE"
"CALHOUN","2","MORGAN"
"RANDOLPH","334","SHELLMAN"
"CALHOUN","1","LEARY"
"TERRELL","06","HEROD-DOVER"
"TERRELL","05","GRAVES"
"TERRELL","01","DAWSON"
"TERRELL","04","PARROTT"
"STEWART","05","LUMPKIN"
"STEWART","04","LOUVALE"
"STEWART","02","RICHLAND"
"null","null","null"
"null","null","null"
"null","null","null"
"MUSCOGEE","113","MT PILGRIM"
"null","null","null"
"MUSCOGEE","103","Shirley Winston"
"MUSCOGEE","126","EDGEWOOD"
"MUSCOGEE","116","HOLSEY"
"MUSCOGEE","114","FAITH TABERNACLE"
"CHATTAHOOCHEE","1","ACTIVITY CENTER"
"null","null","null"
"null","null","null"
"WEBSTER","P1","PRESTON 1"
"MARION","948","BRANTLEY"
"MARION","339","PINEKNOT"
"MARION","807","BUENA VISTA"
"MARION","955","FORT PERRY"
"MARION","808","TAZEWELL"
"DOUGHERTY","25","Christ Church"
"DOUGHERTY","09","2nd Mt. Zion Church"
"TERRELL","02","SASSER"
"DOUGHERTY","08","Westown Elementary School"
"WALTON","417","LOGANVILE NORTH"
"WALTON","424","BAY CREEK"
"GWINNETT","001","HARBINS A"
"GWINNETT","151","HARBINS C"
"WALTON","1663","BOLD SPRINGS"
"BARROW","16","16"
"GWINNETT","133","HARBINS B"
